Round,Track,Date,Driver,Team,Class,Position,Points,DNS_DNF
4,Suzuka Circuit - Full Course,2026-03-18,Barry,Barry-Pawl,GR2,8,1,
4,Suzuka Circuit - Full Course,2026-03-18,Pawl,Barry-Pawl,GR1,5,6,
4,Suzuka Circuit - Full Course,2026-03-18,PeekabooRacing,Peekaboo-Jett,GR1,6,4,
4,Suzuka Circuit - Full Course,2026-03-18,Jett,Peekaboo-Jett,GR2,2,17,
4,Suzuka Circuit - Full Course,2026-03-18,TVDV,TVDV-Ncard,GR1,4,8,
4,Suzuka Circuit - Full Course,2026-03-18,Ncardw11,TVDV-Ncard,GR2,4,8,
4,Suzuka Circuit - Full Course,2026-03-18,PunkTree,Punk-Lead,GR2,3,13,
4,Suzuka Circuit - Full Course,2026-03-18,Leadfoot,Punk-Lead,GR1,8,1,
4,Suzuka Circuit - Full Course,2026-03-18,TheEliteWeasel61,Weasel-Jesus,GR2,5,6,
4,Suzuka Circuit - Full Course,2026-03-18,LART_Jesus,Weasel-Jesus,GR1,7,2,
5,Deep Forest Raceway - Full Course,2026-03-24,Sully,Sully-Sully,GR2,1,23,
5,Deep Forest Raceway - Full Course,2026-03-24,Speedysully,Sully-Sully,GR1,8,1,
5,Deep Forest Raceway - Full Course,2026-03-24,A. Zerpa,Boltus-Zerpa,GR2,0,0,DNS/DNF
5,Deep Forest Raceway - Full Course,2026-03-24,Boltus,Boltus-Zerpa,GR1,4,8,
5,Deep Forest Raceway - Full Course,2026-03-24,Dark Delacroix,Dark-Ctill,GR2,3,12,
5,Deep Forest Raceway - Full Course,2026-03-24,CtillVR,Dark-Ctill,GR1,6,4,
5,Deep Forest Raceway - Full Course,2026-03-24,Barry,Barry-Pawl,GR1,1,24,
5,Deep Forest Raceway - Full Course,2026-03-24,Pawl,Barry-Pawl,GR2,6,4,
5,Deep Forest Raceway - Full Course,2026-03-24,PeekabooRacing,Peekaboo-Jett,GR1,3,12,
5,Deep Forest Raceway - Full Course,2026-03-24,Jett,Peekaboo-Jett,GR2,2,17,
5,Deep Forest Raceway - Full Course,2026-03-24,TVDV,TVDV-Ncard,GR1,2,16,
5,Deep Forest Raceway - Full Course,2026-03-24,Ncardw11,TVDV-Ncard,GR2,5,6,
5,Deep Forest Raceway - Full Course,2026-03-24,PunkTree,Punk-Lead,GR1,5,6,
5,Deep Forest Raceway - Full Course,2026-03-24,Leadfoot,Punk-Lead,GR2,7,2,
5,Deep Forest Raceway - Full Course,2026-03-24,TheEliteWeasel61,Weasel-Jesus,GR1,7,2,
5,Deep Forest Raceway - Full Course,2026-03-24,LART_Jesus,Weasel-Jesus,GR2,4,8,
6,Circuit de la Sarthe,2026-03-31,Sully,Sully-Sully,GR1,1,24,
6,Circuit de la Sarthe,2026-03-31,Speedysully,Sully-Sully,GR2,7,2,
6,Circuit de la Sarthe,2026-03-31,A. Zerpa,Boltus-Zerpa,GR2,1,23,
6,Circuit de la Sarthe,2026-03-31,Boltus,Boltus-Zerpa,GR1,3,12,
6,Circuit de la Sarthe,2026-03-31,Dark Delacroix,Dark-Ctill,GR2,3,12,
6,Circuit de la Sarthe,2026-03-31,CtillVR,Dark-Ctill,GR1,4,8,
6,Circuit de la Sarthe,2026-03-31,Barry,Barry-Pawl,GR2,2,16,
6,Circuit de la Sarthe,2026-03-31,Pawl,Barry-Pawl,GR1,6,4,
6,Circuit de la Sarthe,2026-03-31,PeekabooRacing,Peekaboo-Jett,GR1,5,6,
6,Circuit de la Sarthe,2026-03-31,Jett,Peekaboo-Jett,GR2,4,9,
6,Circuit de la Sarthe,2026-03-31,TVDV,TVDV-Ncard,GR2,6,4,
6,Circuit de la Sarthe,2026-03-31,Ncardw11,TVDV-Ncard,GR1,7,2,
6,Circuit de la Sarthe,2026-03-31,PunkTree,Punk-Lead,GR1,2,16,
6,Circuit de la Sarthe,2026-03-31,Leadfoot,Punk-Lead,GR2,0,0,DNS/DNF
6,Circuit de la Sarthe,2026-03-31,TheEliteWeasel61,Weasel-Jesus,GR1,8,1,
6,Circuit de la Sarthe,2026-03-31,LART_Jesus,Weasel-Jesus,GR2,5,6,
7,Watkins Glen International - Long Course,2026-04-08,Sully,Sully-Sully,GR2,1,22,
7,Watkins Glen International - Long Course,2026-04-08,Speedysully,Sully-Sully,GR1,7,2,
7,Watkins Glen International - Long Course,2026-04-08,A. Zerpa,Boltus-Zerpa,GR1,0,0,DNS/DNF
7,Watkins Glen International - Long Course,2026-04-08,Boltus,Boltus-Zerpa,GR2,3,14,
7,Watkins Glen International - Long Course,2026-04-08,Dark Delacroix,Dark-Ctill,GR2,2,16,
7,Watkins Glen International - Long Course,2026-04-08,CtillVR,Dark-Ctill,GR1,4,8,
7,Watkins Glen International - Long Course,2026-04-08,Barry,Barry-Pawl,GR1,2,16,
7,Watkins Glen International - Long Course,2026-04-08,Pawl,Barry-Pawl,GR2,7,2,
7,Watkins Glen International - Long Course,2026-04-08,PeekabooRacing,Peekaboo-Jett,GR2,6,4,
7,Watkins Glen International - Long Course,2026-04-08,Jett,Peekaboo-Jett,GR1,1,22,
7,Watkins Glen International - Long Course,2026-04-08,TVDV,TVDV-Ncard,GR1,3,14,
7,Watkins Glen International - Long Course,2026-04-08,Ncardw11,TVDV-Ncard,GR2,4,8,
7,Watkins Glen International - Long Course,2026-04-08,PunkTree,Punk-Lead,GR1,5,6,
7,Watkins Glen International - Long Course,2026-04-08,Leadfoot,Punk-Lead,GR2,5,6,
7,Watkins Glen International - Long Course,2026-04-08,TheEliteWeasel61,Weasel-Jesus,GR2,8,1,
7,Watkins Glen International - Long Course,2026-04-08,LART_Jesus,Weasel-Jesus,GR1,6,4,
8,Tokyo Expressway - Central Counterclockwise,2026-04-15,Sully,Sully-Sully,GR2,2,17,
8,Tokyo Expressway - Central Counterclockwise,2026-04-15,Speedysully,Sully-Sully,GR1,3,12,
8,Tokyo Expressway - Central Counterclockwise,2026-04-15,A. Zerpa,Boltus-Zerpa,GR2,1,23,
8,Tokyo Expressway - Central Counterclockwise,2026-04-15,Boltus,Boltus-Zerpa,GR1,4,9,
8,Tokyo Expressway - Central Counterclockwise,2026-04-15,Dark Delacroix,Dark-Ctill,GR1,1,23,
8,Tokyo Expressway - Central Counterclockwise,2026-04-15,CtillVR,Dark-Ctill,GR2,3,12,
8,Tokyo Expressway - Central Counterclockwise,2026-04-15,Barry,Barry-Pawl,GR2,4,8,
8,Tokyo Expressway - Central Counterclockwise,2026-04-15,Pawl,Barry-Pawl,GR1,8,1,
8,Tokyo Expressway - Central Counterclockwise,2026-04-15,PeekabooRacing,Peekaboo-Jett,GR2,6,4,
8,Tokyo Expressway - Central Counterclockwise,2026-04-15,Jett,Peekaboo-Jett,GR1,7,2,
8,Tokyo Expressway - Central Counterclockwise,2026-04-15,TVDV,TVDV-Ncard,GR1,5,6,
8,Tokyo Expressway - Central Counterclockwise,2026-04-15,Ncardw11,TVDV-Ncard,GR2,5,6,
8,Tokyo Expressway - Central Counterclockwise,2026-04-15,PunkTree,Punk-Lead,GR1,2,16,
8,Tokyo Expressway - Central Counterclockwise,2026-04-15,Leadfoot,Punk-Lead,GR2,7,2,
8,Tokyo Expressway - Central Counterclockwise,2026-04-15,TheEliteWeasel61,Weasel-Jesus,GR2,8,1,
8,Tokyo Expressway - Central Counterclockwise,2026-04-15,LART_Jesus,Weasel-Jesus,GR1,6,4,
